music_id,track_name,artist,in_spotify_charts
1,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",147
2,LALA,Myke Towers,48
3,vampire,Olivia Rodrigo,113
4,Cruel Summer,Taylor Swift,100
5,WHERE SHE GOES,Bad Bunny,50
6,Sprinter,"Dave, Central Cee",91
7,Ella Baila Sola,"Eslabon Armado, Peso Pluma",50
8,Columbia,Quevedo,43
9,fukumean,Gunna,83
10,La Bebe - Remix,"Peso Pluma, Yng Lvcas",44
11,un x100to,"Bad Bunny, Grupo Frontera",40
12,Super Shy,NewJeans,55
13,Flowers,Miley Cyrus,115
14,Daylight,David Kushner,98
15,As It Was,Harry Styles,130
16,Kill Bill,SZA,77
17,Cupid - Twin Ver.,Fifty Fifty,77
18,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,104
19,Classy 101,"Feid, Young Miko",40
20,Like Crazy,Jimin,68
21,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",26
22,I Wanna Be Yours,Arctic Monkeys,110
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",40
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",87
25,SABOR FRESA,Fuerza Regida,26
26,MOJABI GHOST,"Tainy, Bad Bunny",40
27,Last Night,Morgan Wallen,19
28,Dance The Night (From Barbie The Album),Dua Lipa,101
29,Rush,Troye Sivan,78
30,TULUM,"Peso Pluma, Grupo Frontera",34
31,Creepin',"The Weeknd, 21 Savage, Metro Boomin",88
32,Anti-Hero,Taylor Swift,56
33,TQG,"Karol G, Shakira",49
34,Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",31
35,Blank Space,Taylor Swift,53
36,Style,Taylor Swift,42
37,TQM,Fuerza Regida,28
38,El Azul,"Junior H, Peso Pluma",25
39,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",78
40,I'm Good (Blue),"Bebe Rexha, David Guetta",80
41,See You Again,"Tyler, The Creator, Kali Uchis",64
42,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",80
43,Angels Like You,Miley Cyrus,19
44,I Ain't Worried,OneRepublic,76
45,Die For You,The Weeknd,59
46,Starboy,"The Weeknd, Daft Punk",79
47,Die For You - Remix,"Ariana Grande, The Weeknd",47
48,El Cielo,"Feid, Myke Towers, Sky Rompiendo",38
49,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",66
50,AMARGURA,Karol G,39
51,(It Goes Like) Nanana - Edit,Peggy Gou,59
52,Another Love,Tom Odell,83
53,Blinding Lights,The Weeknd,69
54,Moonlight,Kali Uchis,42
55,La Bachata,Manuel Turizo,45
56,S91,Karol G,41
57,cardigan,Taylor Swift,29
58,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",41
59,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",39
60,Yellow,Chris Molitor,43
61,Karma,Taylor Swift,23
62,People,Libianca,56
63,Overdrive,Post Malone,36
64,Enchanted (Taylor's Version),Taylor Swift,24
65,BABY HELLO,"Rauw Alejandro, Bizarrap",35
66,Heat Waves,Glass Animals,63
67,golden hour,JVKE,36
68,Sweater Weather,The Neighbourhood,61
69,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",45
70,Viva La Vida,Coldplay,62
71,Here With Me,d4vd,23
72,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",42
73,Yandel 150,"Yandel, Feid",38
74,Riptide,Vance Joy,55
75,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",30
76,Back To December (Taylor's Version),Taylor Swift,17
77,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",36
78,El Merengue,"Marshmello, Manuel Turizo",44
79,Someone You Loved,Lewis Capaldi,53
80,Me Porto Bonito,"Chencho Corleone, Bad Bunny",43
81,Makeba,Jain,53
82,MONTAGEM - FR PUNK,"Ayparia, unxbected",50
83,Fast Car,Luke Combs,12
84,What It Is (Solo Version),Doechii,25
85,Coco Chanel,"Bad Bunny, Eladio Carrion",38
86,Still With You,Jung Kook,39
87,All My Life (feat. J. Cole),"J. Cole, Lil Durk",23
88,Say Yes To Heaven,Lana Del Rey,46
89,Snooze,SZA,25
90,Summertime Sadness,Lana Del Rey,52
91,Take Two,BTS,47
92,Lover,Taylor Swift,23
93,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",58
94,Chemical,Post Malone,39
95,Mockingbird,Eminem,61
96,New Jeans,NewJeans,35
97,Primera Cita,Carin Leon,27
98,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",52
99,Dandelions,Ruth B.,21
100,Bones,Imagine Dragons,44
101,Set Fire to the Rain,Adele,43
102,Money Trees,"Kendrick Lamar, Jay Rock",32
103,Tak Segampang Itu,Anggi Marito,6
104,Mine (Taylor's Version),Taylor Swift,15
105,Everybody Wants To Rule The World,Tears For Fears,25
106,No Role Modelz,J. Cole,36
107,Tattoo,Loreen,59
108,Rara Vez,"Taiu, Milo j",38
109,august,Taylor Swift,22
110,LUNA,"Junior H, Peso Pluma",11
111,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",48
112,Nonsense,Sabrina Carpenter,27
113,Que Vuelvas,"Carin Leon, Grupo Frontera",26
114,Por las Noches,Peso Pluma,24
115,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",52
116,Watermelon Sugar,Harry Styles,34
117,lovely - Bonus Track,"Billie Eilish, Khalid",30
118,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",32
119,Queencard,(G)I-DLE,33
120,OMG,NewJeans,27
121,Radio,Lana Del Rey,46
122,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",44
123,505,Arctic Monkeys,25
124,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",16
125,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",46
126,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",8
127,Perfect,Ed Sheeran,13
128,Romantic Homicide,d4vd,23
129,Believer,Imagine Dragons,23
130,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",8
131,Without Me,Eminem,43
132,QUEMA,"Sog, Ryan Castro, Peso Pluma",31
133,Stargirl Interlude,"The Weeknd, Lana Del Rey",32
134,Somewhere Only We Know,Keane,16
135,Those Eyes,New West,14
136,El Gordo Trae El Mando,Chino Pacas,21
137,Mi Bello Angel,Natanael Cano,8
138,Bye,Peso Pluma,14
139,Danza Kuduro,"Don Omar, Lucenzo",37
140,Nosso Quadro,"Ana Castela, AgroPlay",9
141,Locked Out Of Heaven,Bruno Mars,9
142,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",14
143,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",27
144,Counting Stars,OneRepublic,43
145,Ghost,Justin Bieber,24
146,Under The Influence,Chris Brown,26
147,PRC,"Natanael Cano, Peso Pluma",26
148,Gasolina,Daddy Yankee,18
149,One Dance,"Drake, WizKid, Kyla",24
150,Enchanted,Taylor Swift,16
151,Save Your Tears,The Weeknd,13
152,Sure Thing,Miguel,19
153,Every Breath You Take - Remastered 2003,The Police,19
154,The Night We Met,Lord Huron,35
155,We Found Love,"Rihanna, Calvin Harris",21
156,When I Was Your Man,Bruno Mars,11
157,Let Me Down Slowly,Alec Benjamin,19
158,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",16
159,Do I Wanna Know?,Arctic Monkeys,26
160,Demons,Imagine Dragons,13
161,Reminder,The Weeknd,17
162,Shake It Off,Taylor Swift,13
163,Why'd You Only Call Me When You're High?,Arctic Monkeys,29
164,SNAP,Rosa Linn,18
165,Shape of You,Ed Sheeran,10
166,Night Changes,One Direction,18
167,Fin de Semana,"Oscar Maydon, Junior H",14
168,Creep,Radiohead,7
169,Car's Outside,James Arthur,10
170,Apocalypse,Cigarettes After Sex,17
171,Cheques,Shubh,8
172,Pink + White,Frank Ocean,30
173,Circles,Post Malone,16
174,Just The Way You Are,Bruno Mars,13
175,Take Me To Church,Hozier,31
176,Bebe Dame,"Fuerza Regida, Grupo Frontera",22
177,Better Than Revenge (Taylor's Version),Taylor Swift,11
178,Shut up My Moms Calling,Hotel Ugly,14
179,Have You Ever Seen The Rain?,Creedence Clearwater Revival,14
180,Es un Secreto,Plan B,36
181,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",33
182,Ditto,NewJeans,22
183,Take On Me,a-ha,17
184,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4
185,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",14
186,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",19
187,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",6
188,S-Class,Stray Kids,19
189,Hits Different,Taylor Swift,0
190,Chanel,"Becky G, Peso Pluma",10
191,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",5
192,Area Codes,"Kaliii, Kaliii",13
193,Obsessed,"Abhijay Sharma, Riar Saab",6
194,FLOWER,JISOO,18
195,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",0
